학년도,구분,내용,주관부서,start,end
2026,학사일정,학기 개시일,각 학과별,2026-03-01,2026-03-01
2026,학사일정,개강,각 학과별,2026-03-03,2026-03-03
2026,학사일정,수강신청 확인 및 정정,학사지원팀/대학원실,2026-03-03,2026-03-09
2026,학사일정,2026학년도 1학기 휴학 신청(2차),학사지원팀/대학원실,2026-03-06,2026-03-10
2026,학사일정,"대학원 외국어(영어, 한국어)시험일",대학원실,2026-03-07,2026-03-07
2026,학사일정,취득교과목 학점포기 신청(1차),학사지원팀,2026-03-11,2026-03-13
2026,학사일정,대학원 학위청구논문 초록신청,대학원실,2026-03-16,2026-03-18
2026,학사일정,2026학년도 1학기 휴학 신청(3차),학사지원팀/대학원실,2026-03-18,2026-03-20
2026,학사일정,다전공(복수∙연계∙융합∙학생설계전공) 포기 신청,학사지원팀,2026-03-18,2026-03-20
2026,학사일정,조기졸업 신청,학사지원팀,2026-03-18,2026-03-20
2026,학사일정,수강신청교과목 취소,학사지원팀/대학원실,2026-03-18,2026-03-20
2026,학사일정,학기 1/4 기준일,,2026-03-27,2026-03-27
2026,학사일정,4.19혁명 기념 동국인 등산대회,학생역량개발팀,2026-04-10,2026-04-10
2026,학사일정,전공미결정 학부생 전공신청,학사지원팀,2026-04-13,2026-04-17
2026,학사일정,1학기 중간시험,,2026-04-21,2026-04-27
2026,학사일정,학기 1/2 기준일,,2026-04-22,2026-04-22
2026,학사일정,다전공(복수∙연계∙융합∙학생설계전공) 포기 신청(2차),학사지원팀,2026-04-30,2026-05-01
2026,학사일정,WISE캠퍼스 정규학기 학점교류 신청,WISE캠퍼스/학사지원팀,2026-04-30,2026-05-01
2026,학사일정,개교기념일,,2026-05-08,2026-05-08
2026,학사일정,재입학 신청,학사지원팀/대학원실,2026-05-11,2026-05-22
2026,학사일정,여름 계절학기 수강신청,학사지원팀,2026-05-13,2026-05-15
2026,학사일정,2026년 가을 졸업대상자 졸업논문 제출,각 단과대학,2026-05-18,2026-06-05
2026,학사일정,학기 3/4 기준일,,2026-05-19,2026-05-19
2026,학사일정,부처님 오신날,,2026-05-24,2026-05-24
2026,학사일정,전과(전공변경) 신청,학사지원팀,2026-06-01,2026-06-08
2026,학사일정,졸업연기 신청,학사지원팀,2026-06-01,2026-06-08
2026,학사일정,다전공(복수∙연계∙융합∙학생설계전공) 신청,학사지원팀,2026-06-01,2026-06-19
2026,학사일정,나노∙마이크로디그리 신청,학사지원팀,2026-06-01,2026-06-19
2026,학사일정,1학기 성적처리(입력),담당교원,2026-06-01,2026-06-23
2026,학사일정,취득교과목 학점포기 신청(2차),학사지원팀,2026-06-02,2026-06-05
2026,학사일정,"2026학년도 2학기 교내장학신청(복지,새터민,국가유공자,종단추천)",장학팀,2026-06-04,2026-06-19
2026,학사일정,1학기 기말시험,,2026-06-09,2026-06-15
2026,학사일정,종강,,2026-06-15,2026-06-15
2026,학사일정,2026학년도 1학기 보강 시행기간,,2026-06-16,2026-06-16
2026,학사일정,2026학년도 2학기 학·석사연계과정 신청,대학원실,2026-06-22,2026-06-26
2026,학사일정,2학기 복학 신청(1차),학사지원팀/대학원실,2026-06-22,2026-06-26
2026,학사일정,여름 계절학기,학사지원팀,2026-06-23,2026-07-13
2026,학사일정,여름 방학,,2026-06-23,2026-08-31
2026,학사일정,"1학기 성적처리(공시,정정)",담당교원,2026-06-24,2026-06-29
2026,학사일정,최종제본논문 제출마감일,대학원실,2026-07-03,2026-07-03
2026,학사일정,2026학년도 2학기 휴학 신청(1차),학사지원팀/대학원실,2026-07-13,2026-07-17
2026,학사일정,2026학년도 2학기 복학 신청(2차),학사지원팀/대학원실,2026-07-13,2026-07-17
2026,학사일정,종합시험 접수,대학원실,2026-07-20,2026-07-31
2026,학사일정,2026년 가을 졸업대상자 영어성적 제출 마감,다르마칼리지 학사운영실,2026-07-24,2026-07-24
2026,학사일정,제2외국어시험 접수,대학원실,2026-07-27,2026-07-31
